Time,Acceleration
10.2,-0.00529
10.21,0.01936
10.22,0.04083
10.23,0.06248
10.24,0.07416
10.25,0.08575
10.26,0.08308
10.27,0.08024
10.28,0.06382
10.29,0.04739
10.3,0.02351
10.31,-0.00052
10.32,-0.02077
10.33,-0.04081
10.34,-0.04876
10.35,-0.05672
10.36,-0.05028
10.37,-0.04382
10.38,-0.02833
10.39,-0.01266
10.4,-0.00156
10.41,0.0097
10.42,0.01374
10.43,0.01796
10.44,0.02027
10.45,0.0227
10.46,0.02336
10.47,0.02439
10.48,0.0245
10.49,0.02488
10.5,0.02421
10.51,0.02372
10.52,0.02322
10.53,0.02291
10.54,0.02458
10.55,0.02658
10.56,0.03332
10.57,0.04026
10.58,0.05545
10.59,0.07082
10.6,0.08267
10.61,0.09467
10.62,0.09992
10.63,0.10544
10.64,0.09199
10.65,0.07863
10.66,0.05745
10.67,0.0361
10.68,0.01796
10.69,-0.0002
10.7,-0.01575
10.71,-0.03123
10.72,-0.03968
10.73,-0.04821
10.74,-0.05455
10.75,-0.06093
10.76,-0.06255
10.77,-0.06435
10.78,-0.05824
10.79,-0.05235
10.8,-0.02824
10.81,-0.0044
10.82,0.02103
10.83,0.04615
10.84,0.06875
10.85,0.09125
10.86,0.09565
10.87,0.09994
10.88,0.06944
10.89,0.03866
10.9,0.00412
10.91,-0.03057
10.92,-0.05569
10.93,-0.08092
10.94,-0.09996
10.95,-0.11907
10.96,-0.12884
10.97,-0.13866
10.98,-0.1441
10.99,-0.14951
11,-0.14841
11.01,-0.14732
11.02,-0.13365
11.03,-0.11984
11.04,-0.09547
11.05,-0.07115
11.06,-0.04385
11.07,-0.01652
11.08,0.00925
11.09,0.03509
11.1,0.05139
11.11,0.06776
11.12,0.06727
11.13,0.06673
11.14,0.05473
11.15,0.04256
11.16,0.0326
11.17,0.02257
11.18,0.01796
11.19,0.01334
11.2,0.00262
11.21,-0.0081
11.22,-0.02054
11.23,-0.033
11.24,-0.03964
11.25,-0.04648
11.26,-0.05033
11.27,-0.05432
11.28,-0.04984
11.29,-0.04529
11.3,-0.03407
11.31,-0.02279
11.32,-0.00413
11.33,0.01454
11.34,0.03485
11.35,0.05506
11.36,0.06057
11.37,0.06608
11.38,0.0552
11.39,0.04427
11.4,0.01945
11.41,-0.00524
11.42,-0.02655
11.43,-0.0478
11.44,-0.05737
11.45,-0.06686
11.46,-0.06945
11.47,-0.07196
11.48,-0.06877
11.49,-0.06538
11.5,-0.05833
11.51,-0.05097
11.52,-0.04368
11.53,-0.03617
11.54,-0.03258
11.55,-0.02898
11.56,-0.02844
11.57,-0.02785
11.58,-0.02916
11.59,-0.03027
11.6,-0.03059
11.61,-0.03073
11.62,-0.02921
11.63,-0.02764
11.64,-0.02082
11.65,-0.01408
11.66,-0.00171
11.67,0.01068
11.68,0.02556
11.69,0.04041
11.7,0.06034
11.71,0.08014
11.72,0.09978
11.73,0.11934
11.74,0.13015
11.75,0.14077
11.76,0.14461
11.77,0.14838
11.78,0.14836
11.79,0.14825
11.8,0.14654
11.81,0.14474
11.82,0.13894
11.83,0.13303
11.84,0.11934
11.85,0.10554
11.86,0.09239
11.87,0.07915
11.88,0.07298
11.89,0.06666
11.9,0.05997
11.91,0.05333
11.92,0.04056
11.93,0.02775
11.94,0.01722
11.95,0.00677
11.96,-0.00337
11.97,-0.0135
11.98,-0.02573
11.99,-0.03803
12,-0.0463
12.01,-0.05458
12.02,-0.06401
12.03,-0.07341
12.04,-0.08454
12.05,-0.09558
12.06,-0.10526
12.07,-0.11488
12.08,-0.12281
12.09,-0.13066
12.1,-0.13691
12.11,-0.14308
12.12,-0.14737
12.13,-0.15159
12.14,-0.15143
12.15,-0.15119
12.16,-0.14539
12.17,-0.13952
12.18,-0.12817
12.19,-0.11666
12.2,-0.1045
12.21,-0.09223
12.22,-0.08102
12.23,-0.06977
12.24,-0.06272
12.25,-0.05577
12.26,-0.04726
12.27,-0.03876
